total_loss,mse_loss,kl_loss,sparse_loss
0.06101262693603834,0.010890344002594551,0.04979348213722309,0.00032880320213735104
0.060789572385450207,0.01065342555133005,0.04980746687700351,0.0003286807380694275
0.060723845226069294,0.010666115675121546,0.04972956655547023,0.0003281651806901209
0.06094240831832091,0.010874924948439002,0.0497393449768424,0.00032813925645314157
0.06216534040868282,0.011967882669220367,0.04986893509825071,0.00032852327179474133
0.06201867976536354,0.011789881624281406,0.049899588183810316,0.00032921002033011365
0.060940882191061974,0.010828492076446613,0.04978331985572974,0.0003290700842626393
0.06019884720444679,0.01008097167747716,0.04978919324154655,0.0003286821471798855
0.06018714482585589,0.010137706296518445,0.04972112520287434,0.0003283141025652488
0.060029967377583184,0.010041542739296952,0.04966057278215885,0.00032784981885924935
0.06038094963878393,0.010545279830694199,0.049508758975813784,0.00032691108935978264
